avg_temp,city,country,year
9.47,Seoul,South Korea,1839
10.21,Seoul,South Korea,1840
9.44,Seoul,South Korea,1841
10.13,Seoul,South Korea,1842
10.33,Seoul,South Korea,1843
10.15,Seoul,South Korea,1844
10.25,Seoul,South Korea,1845
10.57,Seoul,South Korea,1846
10.59,Seoul,South Korea,1847
10.36,Seoul,South Korea,1848
10.39,Seoul,South Korea,1849
9.69,Seoul,South Korea,1850
9.33,Seoul,South Korea,1851
9.52,Seoul,South Korea,1852
9.86,Seoul,South Korea,1853
10.53,Seoul,South Korea,1854
10.83,Seoul,South Korea,1855
10.30,Seoul,South Korea,1856
10.27,Seoul,South Korea,1857
10.45,Seoul,South Korea,1858
10.37,Seoul,South Korea,1859
9.47,Seoul,South Korea,1860
9.77,Seoul,South Korea,1861
9.69,Seoul,South Korea,1862
10.53,Seoul,South Korea,1863
10.00,Seoul,South Korea,1864
10.20,Seoul,South Korea,1865
10.11,Seoul,South Korea,1866
10.56,Seoul,South Korea,1867
10.49,Seoul,South Korea,1868
10.71,Seoul,South Korea,1869
10.34,Seoul,South Korea,1870
10.48,Seoul,South Korea,1871
10.26,Seoul,South Korea,1872
9.85,Seoul,South Korea,1873
10.52,Seoul,South Korea,1874
10.43,Seoul,South Korea,1875
10.71,Seoul,South Korea,1876
10.48,Seoul,South Korea,1877
10.29,Seoul,South Korea,1878
10.62,Seoul,South Korea,1879
10.29,Seoul,South Korea,1880
10.24,Seoul,South Korea,1881
10.43,Seoul,South Korea,1882
10.24,Seoul,South Korea,1883
9.37,Seoul,South Korea,1884
9.88,Seoul,South Korea,1885
10.33,Seoul,South Korea,1886
10.35,Seoul,South Korea,1887
10.34,Seoul,South Korea,1888
9.70,Seoul,South Korea,1889
11.38,Seoul,South Korea,1890
10.33,Seoul,South Korea,1891
9.61,Seoul,South Korea,1892
9.64,Seoul,South Korea,1893
11.60,Seoul,South Korea,1894
9.93,Seoul,South Korea,1895
10.39,Seoul,South Korea,1896
10.40,Seoul,South Korea,1897
11.49,Seoul,South Korea,1898
11.12,Seoul,South Korea,1899
10.55,Seoul,South Korea,1900
10.28,Seoul,South Korea,1901
10.82,Seoul,South Korea,1902
10.68,Seoul,South Korea,1903
10.25,Seoul,South Korea,1904
10.57,Seoul,South Korea,1905
10.08,Seoul,South Korea,1906
10.57,Seoul,South Korea,1907
10.08,Seoul,South Korea,1908
10.13,Seoul,South Korea,1909
9.94,Seoul,South Korea,1910
10.24,Seoul,South Korea,1911
9.96,Seoul,South Korea,1912
9.70,Seoul,South Korea,1913
11.44,Seoul,South Korea,1914
10.35,Seoul,South Korea,1915
10.49,Seoul,South Korea,1916
9.56,Seoul,South Korea,1917
10.21,Seoul,South Korea,1918
10.64,Seoul,South Korea,1919
10.98,Seoul,South Korea,1920
10.49,Seoul,South Korea,1921
10.53,Seoul,South Korea,1922
10.15,Seoul,South Korea,1923
10.54,Seoul,South Korea,1924
10.33,Seoul,South Korea,1925
10.25,Seoul,South Korea,1926
10.56,Seoul,South Korea,1927
10.53,Seoul,South Korea,1928
10.75,Seoul,South Korea,1929
11.12,Seoul,South Korea,1930
10.27,Seoul,South Korea,1931
10.98,Seoul,South Korea,1932
10.47,Seoul,South Korea,1933
10.21,Seoul,South Korea,1934
11.26,Seoul,South Korea,1935
9.85,Seoul,South Korea,1936
11.15,Seoul,South Korea,1937
10.80,Seoul,South Korea,1938
11.36,Seoul,South Korea,1939
10.63,Seoul,South Korea,1940
10.89,Seoul,South Korea,1941
10.72,Seoul,South Korea,1942
11.14,Seoul,South Korea,1943
10.52,Seoul,South Korea,1944
9.99,Seoul,South Korea,1945
11.07,Seoul,South Korea,1946
9.20,Seoul,South Korea,1947
11.23,Seoul,South Korea,1948
11.24,Seoul,South Korea,1949
11.29,Seoul,South Korea,1950
10.98,Seoul,South Korea,1951
10.85,Seoul,South Korea,1952
10.79,Seoul,South Korea,1953
11.09,Seoul,South Korea,1954
11.23,Seoul,South Korea,1955
9.84,Seoul,South Korea,1956
10.11,Seoul,South Korea,1957
11.09,Seoul,South Korea,1958
11.58,Seoul,South Korea,1959
11.63,Seoul,South Korea,1960
11.66,Seoul,South Korea,1961
10.98,Seoul,South Korea,1962
10.55,Seoul,South Korea,1963
11.35,Seoul,South Korea,1964
10.61,Seoul,South Korea,1965
10.73,Seoul,South Korea,1966
10.84,Seoul,South Korea,1967
10.93,Seoul,South Korea,1968
10.09,Seoul,South Korea,1969
10.46,Seoul,South Korea,1970
10.71,Seoul,South Korea,1971
11.01,Seoul,South Korea,1972
11.28,Seoul,South Korea,1973
10.21,Seoul,South Korea,1974
11.61,Seoul,South Korea,1975
10.56,Seoul,South Korea,1976
11.22,Seoul,South Korea,1977
11.46,Seoul,South Korea,1978
11.58,Seoul,South Korea,1979
10.03,Seoul,South Korea,1980
10.28,Seoul,South Korea,1981
11.47,Seoul,South Korea,1982
11.38,Seoul,South Korea,1983
10.67,Seoul,South Korea,1984
10.78,Seoul,South Korea,1985
10.46,Seoul,South Korea,1986
11.03,Seoul,South Korea,1987
11.23,Seoul,South Korea,1988
12.01,Seoul,South Korea,1989
11.86,Seoul,South Korea,1990
11.39,Seoul,South Korea,1991
11.48,Seoul,South Korea,1992
11.02,Seoul,South Korea,1993
12.32,Seoul,South Korea,1994
11.27,Seoul,South Korea,1995
11.13,Seoul,South Korea,1996
11.70,Seoul,South Korea,1997
12.66,Seoul,South Korea,1998
12.13,Seoul,South Korea,1999
11.42,Seoul,South Korea,2000
11.60,Seoul,South Korea,2001
11.80,Seoul,South Korea,2002
11.80,Seoul,South Korea,2003
12.25,Seoul,South Korea,2004
11.16,Seoul,South Korea,2005
12.01,Seoul,South Korea,2006
12.25,Seoul,South Korea,2007
11.96,Seoul,South Korea,2008
11.84,Seoul,South Korea,2009
11.30,Seoul,South Korea,2010
11.12,Seoul,South Korea,2011
11.23,Seoul,South Korea,2012
12.12,Seoul,South Korea,2013
